Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
25,Yes,Travel_Rarely,496,Hardware,5,4,Life Sciences,1,73,1,Female,178,2,4,Research Director,2,Divorced,43396,737732,6,Y,No,37,4,3,80,4,6,4,2,3,1,3,3
22,Yes,Travel_Rarely,1250,Research & Development,7,1,Medical,1,74,2,Female,186,4,4,Human Resources,2,Single,25223,100892,3,Y,Yes,31,1,4,80,3,18,1,2,17,11,9,2
46,No,Travel_Frequently,815,Hardware,6,1,Other,1,75,3,Female,82,3,5,Healthcare Representative,2,Divorced,16844,134752,1,Y,Yes,19,1,1,80,4,6,4,2,4,1,1,2
53,Yes,Non-Travel,215,Support,3,1,Other,1,76,1,Male,71,3,5,Healthcare Representative,4,Single,24216,726480,6,Y,No,14,1,4,80,4,37,3,4,22,8,12,22
60,Yes,Travel_Frequently,225,Sales,20,5,Human Resources,1,77,3,Female,173,4,3,Human Resources,1,Divorced,21931,482482,3,Y,Yes,23,4,2,80,2,11,4,2,2,1,1,1
54,No,Travel_Rarely,528,Hardware,43,3,Human Resources,1,78,4,Female,81,2,5,Developer,4,Married,41282,866922,6,Y,No,34,2,3,80,2,19,1,4,9,8,8,4
59,Yes,Travel_Rarely,211,Human Resources,11,5,Other,1,79,3,Male,82,2,5,Sales Executive,4,Single,35151,386661,0,Y,No,37,2,4,80,1,34,1,2,26,6,22,7
56,Yes,Non-Travel,1458,Research & Development,12,2,Marketing,1,80,1,Female,79,2,1,Manager,3,Single,4129,111483,5,Y,Yes,19,1,4,80,1,15,4,2,1,1,1,1
44,Yes,Non-Travel,1155,Hardware,46,4,Medical,1,81,2,Male,147,3,3,Human Resources,3,Single,34395,34395,8,Y,No,24,3,3,80,3,32,1,1,19,5,15,12
48,Yes,Travel_Rarely,944,Hardware,2,2,Life Sciences,1,82,1,Female,31,2,2,Sales Executive,4,Married,32058,577044,8,Y,Yes,33,2,3,80,4,6,1,1,5,5,2,3
20,Yes,Travel_Rarely,711,Research & Development,18,1,Human Resources,1,83,2,Male,143,3,3,Sales Executive,2,Single,41890,83780,2,Y,No,2,2,1,80,4,24,1,2,24,12,11,9
49,Yes,Non-Travel,604,Human Resources,15,5,Human Resources,1,84,4,Male,140,1,3,Sales Representative,1,Divorced,26855,80565,1,Y,Yes,30,2,1,80,1,28,1,1,25,5,10,6
41,Yes,Non-Travel,919,Hardware,41,3,Medical,1,85,2,Male,33,2,1,Manager,2,Married,3283,85358,3,Y,Yes,49,4,2,80,3,38,2,3,19,5,15,16
51,Yes,Non-Travel,590,Human Resources,15,2,Medical,1,86,4,Male,145,2,5,Laboratory Technician,3,Married,9975,129675,4,Y,No,23,3,2,80,2,10,1,4,10,2,3,1
57,No,Non-Travel,734,Sales,39,4,Technical Degree,1,87,4,Male,68,2,4,Manager,4,Married,26280,183960,0,Y,No,30,4,4,80,3,2,5,2,1,1,1,1
56,Yes,Travel_Rarely,1408,Research & Development,11,1,Other,1,88,1,Male,146,3,2,Manager,4,Married,48200,241000,5,Y,No,6,4,4,80,1,20,1,2,20,14,1,6
26,No,Travel_Frequently,1392,Hardware,27,5,Life Sciences,1,89,2,Female,114,1,1,Laboratory Technician,2,Divorced,14810,311010,0,Y,Yes,19,3,4,80,1,16,5,2,3,1,1,1
28,Yes,Travel_Rarely,756,Human Resources,42,4,Medical,1,90,1,Female,150,1,3,Research Director,1,Married,22466,584116,4,Y,No,33,1,3,80,3,19,3,1,14,7,7,8
25,No,Non-Travel,614,Research & Development,48,2,Human Resources,1,91,3,Female,64,4,4,Research Scientist,2,Single,47119,659666,4,Y,Yes,21,2,2,80,1,9,1,3,5,3,4,5
40,Yes,Travel_Rarely,392,Software,28,3,Other,1,92,3,Female,104,3,4,Research Scientist,4,Divorced,7030,154660,3,Y,No,30,1,3,80,3,39,6,3,29,11,2,24
48,Yes,Non-Travel,964,Human Resources,5,5,Human Resources,1,93,1,Male,116,4,1,Research Scientist,4,Divorced,8757,218925,1,Y,No,45,2,4,80,2,21,1,1,8,2,6,1
28,No,Travel_Rarely,568,Software,44,2,Human Resources,1,94,2,Male,96,2,3,Manufacturing Director,1,Married,38693,154772,5,Y,Yes,3,2,3,80,4,30,6,3,15,7,5,12
33,No,Non-Travel,645,Research & Development,9,5,Other,1,95,2,Male,110,4,4,Developer,3,Single,3879,3879,6,Y,No,19,4,3,80,3,14,5,3,10,5,10,7
27,No,Travel_Rarely,568,Sales,28,2,Technical Degree,1,96,2,Female,174,2,1,Research Director,3,Single,18234,455850,4,Y,No,48,3,4,80,1,19,4,1,2,2,2,1
21,Yes,Non-Travel,1172,Research & Development,38,3,Technical Degree,1,97,4,Female,48,3,2,Sales Executive,3,Single,30810,184860,5,Y,Yes,13,1,4,80,1,39,6,2,21,14,16,20
47,Yes,Travel_Frequently,377,Software,28,3,Medical,1,98,1,Female,72,3,5,Human Resources,1,Married,48766,438894,5,Y,No,18,1,2,80,3,29,6,3,19,12,1,16
52,No,Travel_Frequently,890,Hardware,11,1,Technical Degree,1,99,1,Female,49,2,2,Sales Executive,1,Married,20299,405980,5,Y,Yes,35,4,1,80,1,1,6,1,1,1,1,1
23,No,Non-Travel,302,Software,27,5,Human Resources,1,100,3,Male,71,4,1,Healthcare Representative,3,Divorced,28194,535686,6,Y,Yes,4,2,3,80,2,38,1,1,30,16,15,17
35,Yes,Travel_Rarely,1079,Human Resources,43,4,Life Sciences,1,101,3,Male,61,1,3,Sales Executive,1,Married,47410,805970,2,Y,No,43,4,3,80,4,21,5,4,18,10,18,18
44,No,Travel_Rarely,1303,Human Resources,48,4,Life Sciences,1,102,3,Female,143,4,1,Research Director,1,Married,25460,330980,6,Y,No,12,3,1,80,1,19,5,1,5,4,4,5
30,No,Travel_Frequently,1328,Human Resources,16,5,Other,1,103,4,Female,69,2,5,Manager,3,Single,40481,1133468,1,Y,Yes,27,3,3,80,4,28,4,3,27,6,18,23
33,Yes,Travel_Frequently,726,Software,34,5,Life Sciences,1,104,1,Female,43,4,5,Developer,4,Divorced,32759,294831,6,Y,Yes,48,2,3,80,1,35,5,1,20,20,17,8
34,No,Non-Travel,397,Sales,47,5,Human Resources,1,105,2,Female,179,1,5,Sales Representative,3,Divorced,23092,461840,6,Y,No,1,3,2,80,4,40,6,1,29,4,23,29
46,Yes,Non-Travel,919,Support,18,5,Medical,1,106,3,Female,152,2,3,Human Resources,3,Married,48434,290604,8,Y,No,24,4,2,80,3,18,2,3,14,1,2,1
38,Yes,Non-Travel,963,Software,23,5,Technical Degree,1,107,1,Female,197,1,1,Research Director,1,Married,37480,712120,2,Y,Yes,3,3,4,80,4,11,2,2,11,11,9,7
41,No,Travel_Frequently,906,Software,44,1,Human Resources,1,108,4,Male,183,4,1,Human Resources,2,Single,7706,53942,3,Y,Yes,6,2,1,80,2,15,3,3,4,2,1,4
28,Yes,Non-Travel,170,Human Resources,4,4,Marketing,1,109,1,Female,68,2,5,Laboratory Technician,1,Divorced,10332,30996,1,Y,No,24,3,1,80,1,26,6,1,21,3,10,4
49,Yes,Travel_Rarely,502,Software,42,2,Life Sciences,1,110,1,Male,81,4,4,Manufacturing Director,2,Married,40953,737154,5,Y,No,27,2,3,80,1,34,4,1,6,3,6,5
25,No,Non-Travel,1475,Support,40,1,Other,1,111,3,Female,176,4,2,Manager,3,Married,34402,550432,0,Y,No,19,4,1,80,3,3,1,4,1,1,1,1
48,No,Non-Travel,360,Hardware,44,5,Medical,1,112,4,Female,134,1,1,Developer,2,Divorced,1714,22282,8,Y,No,9,4,3,80,3,23,4,4,8,2,6,5
43,No,Travel_Rarely,1002,Hardware,27,3,Marketing,1,113,3,Female,54,3,2,Research Director,3,Divorced,1887,54723,2,Y,Yes,12,4,3,80,1,29,1,1,19,5,1,11
19,No,Non-Travel,1416,Sales,1,5,Technical Degree,1,114,1,Female,115,3,3,Manufacturing Director,2,Divorced,19102,76408,0,Y,Yes,10,3,2,80,3,37,1,1,10,5,10,3
20,No,Travel_Frequently,1420,Support,22,2,Life Sciences,1,115,4,Female,75,1,5,Human Resources,4,Married,37993,531902,5,Y,Yes,11,1,4,80,3,39,4,2,18,4,12,10
33,Yes,Travel_Frequently,521,Support,38,3,Life Sciences,1,116,2,Male,189,3,3,Healthcare Representative,2,Single,41830,292810,6,Y,Yes,35,3,3,80,3,5,1,3,3,1,1,1
59,Yes,Travel_Rarely,229,Software,28,1,Marketing,1,117,3,Female,124,1,3,Manufacturing Director,4,Single,45642,91284,4,Y,No,33,4,3,80,2,9,1,4,4,4,4,4
32,Yes,Travel_Frequently,451,Research & Development,9,3,Medical,1,118,2,Female,60,2,2,Developer,2,Single,3509,105270,3,Y,No,32,4,2,80,1,33,1,4,13,13,4,3
41,No,Travel_Frequently,587,Research & Development,20,5,Marketing,1,119,3,Male,83,2,4,Laboratory Technician,2,Single,34738,416856,3,Y,Yes,21,2,2,80,4,37,2,3,10,6,6,5
57,Yes,Travel_Frequently,952,Research & Development,30,1,Marketing,1,120,3,Male,54,1,4,Manager,2,Married,1440,7200,0,Y,No,16,2,3,80,1,9,2,3,8,1,4,5
22,Yes,Non-Travel,657,Research & Development,27,2,Marketing,1,121,1,Female,166,4,2,Healthcare Representative,2,Married,21954,197586,2,Y,Yes,32,3,3,80,2,36,2,1,31,31,10,30
34,No,Travel_Frequently,923,Sales,25,2,Marketing,1,122,4,Female,173,1,4,Sales Representative,1,Single,43559,871180,7,Y,No,30,2,4,80,3,23,6,3,22,8,22,14
21,No,Non-Travel,502,Hardware,43,1,Human Resources,1,123,3,Male,173,2,1,Sales Representative,1,Married,49451,49451,5,Y,No,47,3,1,80,4,17,4,3,17,6,14,17
27,No,Travel_Frequently,112,Software,20,3,Other,1,124,3,Male,42,3,1,Human Resources,3,Married,30736,153680,5,Y,No,5,4,4,80,2,24,2,1,16,8,6,2
59,No,Travel_Frequently,1430,Human Resources,19,3,Life Sciences,1,125,3,Female,90,1,1,Manager,2,Divorced,33492,133968,6,Y,Yes,13,2,1,80,4,27,2,1,18,6,5,6
47,No,Travel_Frequently,303,Human Resources,29,1,Human Resources,1,126,4,Male,158,2,5,Research Director,3,Married,4117,86457,4,Y,Yes,47,4,1,80,1,11,4,2,10,9,2,6
37,No,Travel_Rarely,1076,Support,32,5,Technical Degree,1,127,4,Female,154,3,5,Human Resources,1,Single,16368,261888,3,Y,Yes,49,4,3,80,4,29,2,4,29,9,4,18
39,No,Non-Travel,675,Sales,9,1,Marketing,1,128,4,Male,85,2,4,Human Resources,3,Married,49686,1440894,1,Y,No,6,4,1,80,2,36,4,4,10,5,2,9
45,No,Travel_Frequently,465,Sales,4,5,Other,1,129,2,Female,152,1,5,Laboratory Technician,2,Married,7586,159306,8,Y,Yes,28,4,4,80,3,4,4,2,4,1,3,2
38,Yes,Travel_Frequently,618,Support,16,5,Life Sciences,1,130,4,Female,79,4,2,Laboratory Technician,3,Divorced,14747,324434,1,Y,No,14,4,3,80,1,23,3,4,12,1,8,7
36,Yes,Non-Travel,413,Human Resources,46,5,Human Resources,1,131,2,Male,106,1,2,Manager,2,Single,12746,152952,4,Y,Yes,22,4,2,80,3,27,4,3,13,1,6,13
34,Yes,Travel_Rarely,1191,Research & Development,25,1,Technical Degree,1,132,2,Male,160,3,3,Human Resources,4,Divorced,3503,80569,3,Y,Yes,20,2,3,80,1,12,5,2,8,6,7,1
50,Yes,Travel_Rarely,1429,Support,27,1,Human Resources,1,133,3,Male,131,2,1,Manager,1,Married,11065,199170,4,Y,No,27,4,1,80,4,6,5,3,6,2,6,1
58,Yes,Travel_Frequently,985,Software,47,4,Life Sciences,1,134,4,Female,125,1,2,Research Director,4,Married,31426,817076,0,Y,No,3,3,1,80,3,19,1,2,13,4,8,8
56,No,Travel_Rarely,562,Hardware,11,1,Technical Degree,1,135,1,Male,176,4,5,Laboratory Technician,3,Single,4951,128726,7,Y,No,30,4,2,80,1,19,4,1,13,13,8,5
31,No,Travel_Frequently,703,Support,5,5,Technical Degree,1,136,2,Female,73,4,5,Manager,3,Married,30609,214263,4,Y,Yes,47,1,3,80,3,17,1,1,4,4,1,1
56,Yes,Non-Travel,1465,Hardware,40,3,Medical,1,137,2,Male,82,3,4,Sales Representative,4,Single,27605,441680,5,Y,Yes,26,4,3,80,4,12,1,2,12,9,4,12
50,No,Travel_Frequently,302,Human Resources,12,5,Human Resources,1,138,1,Male,70,4,3,Research Scientist,3,Divorced,10768,43072,8,Y,Yes,37,4,4,80,2,11,2,3,2,1,1,1
48,Yes,Non-Travel,1018,Research & Development,35,3,Human Resources,1,139,2,Female,69,1,2,Developer,1,Divorced,7055,63495,6,Y,Yes,0,3,2,80,2,2,2,3,2,2,1,2
24,Yes,Travel_Rarely,914,Research & Development,40,5,Life Sciences,1,140,4,Male,139,1,4,Sales Representative,1,Divorced,43112,732904,8,Y,No,3,2,4,80,3,13,2,1,3,1,3,2
39,Yes,Travel_Rarely,271,Support,14,3,Life Sciences,1,141,1,Female,114,2,5,Research Director,1,Married,47573,1141752,3,Y,No,30,2,2,80,2,34,2,4,2,2,2,2
